연번,분야,도서명,저자,출판사,발행일,대출여부,대출학생 번호
1,문학예술,맏이,"토어 세이들러 글, 조원희 그림/권자심",논장,2017.7.25.,,
2,문학예술,인생詩선,손나라,트로이목마,2017.8.30.,,
3,인문학,어린이 대학: 역사,"이만열/이광희?글, 이주희 그림",창비,2017.7.25.,,
4,인문학,"눈, 새로운 발견",김융희 외,궁리,2017.7.28.,,
5,사회과학,종횡무진 밥상견문록,윤덕노,깊은나무,2017.8.31.,,
6,사회과학,실험실에서 만든 햄버거는 무슨 맛일까?,킴벌리 베네스/김아림,초록개구리,2017.8.23.,,
7,자연과학,기억한다는 것,"이현수 글, 김진화 그림",너머학교,2017.7.25.,,
8,실용일반,"10대, 나의 발견",윤주옥 외,글담출판,2017.8.15.,,
9,유아아동,새끼표범,"강무홍 글, 오승민 그림",한울림어린이,2017.7.24.,,
10,유아아동,플로팅 아일랜드,"김려령 글, 이주미 그림",비룡소,2017.8. 1.,,
